id,attractionId,name,image,rating,url,category,location,createdAt,updatedAt
1,SXm3gN3LTwfHUyzK3UgNmA,"Piazza Navona",https://s3-media3.fl.yelpcdn.com/bphoto/Rd7rRjgqcQbcf0g6kc7o2g/o.jpg,5,https://www.yelp.com/biz/piazza-navona-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
2,FzdlWepWgSTSDZBtYzKjFw,"Spanish Steps",https://s3-media3.fl.yelpcdn.com/bphoto/YUmIth830FN0V0rNj0GJSg/o.jpg,5,https://www.yelp.com/biz/spanish-steps-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
3,IjUYBpUMJ_iYylwrcsJLiQ,"Trevi Fountain",https://s3-media2.fl.yelpcdn.com/bphoto/Fg_SI83cs-tILx6W4y7ktg/o.jpg,5,https://www.yelp.com/biz/fontana-di-trevi-roma-3?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
4,wMDtEfXqKTRXZBx1EzDNng,Colosseo,https://s3-media1.fl.yelpcdn.com/bphoto/DFLKmxCEIgj2UJ0q11R-7Q/o.jpg,5,https://www.yelp.com/biz/colosseo-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Local Flavor",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
5,F6dyeWO0Ti0SiUnwfyeBkw,"Pantheon - Basilica di Santa Maria ad Martyres",https://s3-media3.fl.yelpcdn.com/bphoto/wDcbtQyxePfBYfHHXYiwGw/o.jpg,5,https://www.yelp.com/biz/pantheon-basilica-di-santa-maria-ad-martyres-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Churches,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
6,SBTJP701jX90XDPr_NpfSw,"Campo dè Fiori",https://s3-media4.fl.yelpcdn.com/bphoto/y5RLJivUCjMekrPu8EEItg/o.jpg,4,https://www.yelp.com/biz/campo-d%C3%A8-fiori-roma-12?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Public Plazas",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
7,da2IjyfC3DYAuualgzRU8w,"Vatican City",https://s3-media3.fl.yelpcdn.com/bphoto/Uw2bINR2LaIh5jCsvBkAOQ/o.jpg,5,https://www.yelp.com/biz/vatican-city-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Local Flavor",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
8,0ep6EHKqqk6N1fNO3uHqIw,"Piazza Venezia",https://s3-media4.fl.yelpcdn.com/bphoto/IEsTDcx7VwNqA2CERgJo3w/o.jpg,5,https://www.yelp.com/biz/piazza-venezia-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
9,LJvXAmYZBZ4s1TkgxoRWkQ,"The Aventine Keyhole",https://s3-media3.fl.yelpcdn.com/bphoto/tjp_w2GJOIF3p9zMPDQNBQ/o.jpg,5,https://www.yelp.com/biz/the-aventine-keyhole-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Arts & Entertainment",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
10,QhvsysQveiuOSoP9LeSz9A,Colosseum,https://s3-media2.fl.yelpcdn.com/bphoto/XYQGmylTMQkb_G6jqv74Nw/o.jpg,5,https://www.yelp.com/biz/colosseum-roma-7?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
11,7vHqQWFjugY5UE6ilidI6A,"Basilica di San Giovanni in Laterano",https://s3-media1.fl.yelpcdn.com/bphoto/RYXLRcbWJyWimsJChqChbw/o.jpg,5,https://www.yelp.com/biz/basilica-di-san-giovanni-in-laterano-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Churches,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
12,XNutZbcad4UM3f5YYu7nTw,"Parco Villa Borghese",https://s3-media3.fl.yelpcdn.com/bphoto/0vbUTdGb_xWYGkrp4_4ufA/o.jpg,5,https://www.yelp.com/biz/parco-villa-borghese-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Parks,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
13,ZgvUprCrcpJD6GPTGPXe8A,"Foro Romano",https://s3-media2.fl.yelpcdn.com/bphoto/NNYauNXlWjspsvnyZxTdFQ/o.jpg,5,https://www.yelp.com/biz/foro-romano-roma-4?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
14,k2uVR9JRa7VU4UKGsuc0Xw,"Catacombe San Callisto",https://s3-media1.fl.yelpcdn.com/bphoto/I5l23-G3pnuBC38oKWmiKg/o.jpg,5,https://www.yelp.com/biz/catacombe-san-callisto-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Museums,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
15,IronzTwYEAo6iSMWkwZWVA,"Musei Vaticani",https://s3-media1.fl.yelpcdn.com/bphoto/1m2vGJCYuw1mI9SLp7TOkA/o.jpg,4,https://www.yelp.com/biz/musei-vaticani-roma-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Museums,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
16,H7KFzL2MHonaZYaudogU3Q,"Fontana dei Fiumi",https://s3-media2.fl.yelpcdn.com/bphoto/XgnfVJi7ezc4jkty4t5uKA/o.jpg,5,https://www.yelp.com/biz/fontana-dei-fiumi-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
17,PET-8SzzdviLv3lvLZ-qWA,"Arco di Costantino",https://s3-media2.fl.yelpcdn.com/bphoto/POttlaYi6Q8VJJtBhaT70Q/o.jpg,5,https://www.yelp.com/biz/arco-di-costantino-roma-4?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
18,2Vl0YTp4ht3lNJczcotFMQ,"Castel Sant'Angelo",https://s3-media3.fl.yelpcdn.com/bphoto/yiz2XOGsHqGUucGcPgObZQ/o.jpg,5,https://www.yelp.com/biz/castel-santangelo-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Museums,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
19,YQPHj0lLWMeT4Wt3q5fmxQ,"Museo e Galleria Borghese",https://s3-media3.fl.yelpcdn.com/bphoto/vDYxfQ84CjklAG0v4bxBVQ/o.jpg,5,https://www.yelp.com/biz/museo-e-galleria-borghese-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Museums,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
20,SikoGW2dFmYl-66yOkL4IA,"Inn at The Spanish Steps",https://s3-media3.fl.yelpcdn.com/bphoto/Ss0Tb7HcCEDpOxdW3P1f4w/o.jpg,4,https://www.yelp.com/biz/inn-at-the-spanish-steps-roma-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
21,PEuRhTFO9bJgTiOw33r2Xg,"Piazza Gae Aulenti",https://s3-media4.fl.yelpcdn.com/bphoto/x5_lSZKPA276b0JXeWxu-w/o.jpg,5,https://www.yelp.com/biz/piazza-gae-aulenti-milano-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
22,-d1C0YY77HhcqXkOZHOH6A,"Duomo di Milano",https://s3-media2.fl.yelpcdn.com/bphoto/tLEDwZgO16az_WJjqmZKfg/o.jpg,5,https://www.yelp.com/biz/duomo-di-milano-milano-3?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
23,DWDkNEotz1Z0GruJu6DiFA,"Basilica di Santa Maria delle Grazie",https://s3-media1.fl.yelpcdn.com/bphoto/bzWoz-73leqDW5oU7nHiIQ/o.jpg,5,https://www.yelp.com/biz/basilica-di-santa-maria-delle-grazie-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Churches,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
24,SKMKr2sJgWCVr0_zD7Yyxw,"Galleria Vittorio Emanuele II",https://s3-media4.fl.yelpcdn.com/bphoto/OlWd5DCOjgi45BlZtWmYmw/o.jpg,5,https://www.yelp.com/biz/galleria-vittorio-emanuele-ii-milano-5?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
25,fDPlUtzs53owQsWkQvAQSQ,"Parco Sempione",https://s3-media2.fl.yelpcdn.com/bphoto/6ZqE_WGPq-zuBYvC-OHq7w/o.jpg,5,https://www.yelp.com/biz/parco-sempione-milano-3?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Parks,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
26,7M4-6cGI7lPf7xqABDv_lw,"Castello Sforzesco",https://s3-media3.fl.yelpcdn.com/bphoto/xkS36XjzMRtQ1U3iXKkE7w/o.jpg,5,https://www.yelp.com/biz/castello-sforzesco-milano-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Landmarks & Historical Buildings",Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
