id,hotelId,name,image,rating,url,category,location,createdAt,updatedAt
1,NULL,"Hotel Artemide",https://s3-media2.fl.yelpcdn.com/bphoto/LdiSgxbpPLs8O7m3oEmbQg/o.jpg,5,https://www.yelp.com/biz/hotel-artemide-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
2,NULL,"iQ Hotel Roma",https://s3-media3.fl.yelpcdn.com/bphoto/giL_kns3Q8wyZI-AgvTAgQ/o.jpg,5,https://www.yelp.com/biz/iq-hotel-roma-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
3,NULL,"Palazzo Navona Hotel",https://s3-media2.fl.yelpcdn.com/bphoto/dMSeH05-sjVvBK1AfX2zGA/o.jpg,4,https://www.yelp.com/biz/palazzo-navona-hotel-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
4,NULL,"Hotel Raffaello",https://s3-media3.fl.yelpcdn.com/bphoto/FnRsZ48qdcdU2adUndRSxg/o.jpg,5,https://www.yelp.com/biz/hotel-raffaello-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
5,NULL,"The St. Regis Rome",https://s3-media1.fl.yelpcdn.com/bphoto/fxYHf4jb-bxxQAOl2hIpgA/o.jpg,5,https://www.yelp.com/biz/the-st-regis-rome-roma-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
6,NULL,"Hotel Eden",https://s3-media1.fl.yelpcdn.com/bphoto/e85aUoujM45vu-vRSh6TjA/o.jpg,5,https://www.yelp.com/biz/hotel-eden-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
7,NULL,"The Pantheon Iconic Rome Hotel, Autograph Collection",https://s3-media1.fl.yelpcdn.com/bphoto/sx3hIDGZqlpEwMPSufBaJg/o.jpg,5,https://www.yelp.com/biz/the-pantheon-iconic-rome-hotel-autograph-collection-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
8,NULL,"Hotel Santa Maria",https://s3-media3.fl.yelpcdn.com/bphoto/5RYKUd5q2l7zovslIO7IKQ/o.jpg,5,https://www.yelp.com/biz/hotel-santa-maria-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
9,NULL,"Singer Palace Hotel",https://s3-media3.fl.yelpcdn.com/bphoto/pGS51XFWhPk0_DeRiJ7I2g/o.jpg,5,https://www.yelp.com/biz/singer-palace-hotel-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
10,NULL,"Nerva Boutique Hotel",https://s3-media3.fl.yelpcdn.com/bphoto/cosF6d088Go9Vms_CyJ3Og/o.jpg,5,https://www.yelp.com/biz/nerva-boutique-hotel-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
11,NULL,"The Inn at The Roman Forum",https://s3-media1.fl.yelpcdn.com/bphoto/tEdFDf5YzDSkze7NEHrJOQ/o.jpg,5,https://www.yelp.com/biz/the-inn-at-the-roman-forum-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
12,NULL,"Rome Cavalieri - A Waldorf Astoria Resort",https://s3-media4.fl.yelpcdn.com/bphoto/gL3p9agJDCeEOZyVInjxJw/o.jpg,4,https://www.yelp.com/biz/rome-cavalieri-a-waldorf-astoria-resort-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
13,NULL,"Trevi 41 Hotel",https://s3-media2.fl.yelpcdn.com/bphoto/scRA-KogcaQDqHN6GKFgLg/o.jpg,5,https://www.yelp.com/biz/trevi-41-hotel-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
14,NULL,"VOI Donna Camilla Savelli",https://s3-media1.fl.yelpcdn.com/bphoto/97Q0_phD0bfieprIs8m5Wg/o.jpg,5,https://www.yelp.com/biz/voi-donna-camilla-savelli-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
15,NULL,"The Independent Hotel",https://s3-media1.fl.yelpcdn.com/bphoto/9SuHFZVZl2Ozw9hhJnsFBA/o.jpg,5,https://www.yelp.com/biz/the-independent-hotel-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
16,NULL,"Boutique Hotel Campo de Fiori",https://s3-media1.fl.yelpcdn.com/bphoto/VhPXijxFnaLVc7E1OpeBzg/o.jpg,5,https://www.yelp.com/biz/boutique-hotel-campo-de-fiori-roma-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
17,NULL,"Rome Times Hotel",https://s3-media2.fl.yelpcdn.com/bphoto/G5IR_WG8f6NJNsa7U17jGw/o.jpg,5,https://www.yelp.com/biz/rome-times-hotel-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
18,NULL,"Gran Meliá Rome",https://s3-media2.fl.yelpcdn.com/bphoto/P8lkyGzU4xVfIXhjezLovA/o.jpg,4,https://www.yelp.com/biz/gran-meli%C3%A1-rome-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
19,NULL,"Albergo del Senato",https://s3-media1.fl.yelpcdn.com/bphoto/DhHk63PACYKew49bJ8RHvg/o.jpg,5,https://www.yelp.com/biz/albergo-del-senato-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
20,NULL,"Palazzo Naiadi, The Dedica Anthology, Autograph Collection",https://s3-media2.fl.yelpcdn.com/bphoto/To70plq7Rd83EYqGJ9xVSw/o.jpg,4,https://www.yelp.com/biz/palazzo-naiadi-the-dedica-anthology-autograph-collection-rome?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-18 21:56:00","2020-12-18 21:56:00"
21,NULL,"Excelsior Hotel Gallia, a Luxury Collection Hotel, Milan",https://s3-media3.fl.yelpcdn.com/bphoto/ur0i0qLrye7-u2auncNdaA/o.jpg,5,https://www.yelp.com/biz/excelsior-hotel-gallia-a-luxury-collection-hotel-milan-milan?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
22,NULL,"Room Mate Giulia Hotel",https://s3-media3.fl.yelpcdn.com/bphoto/IfO9kNVpWjSNHH8S1uiNcA/o.jpg,5,https://www.yelp.com/biz/room-mate-giulia-hotel-milano-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
23,NULL,"Hotel Principe di Savoia",https://s3-media3.fl.yelpcdn.com/bphoto/hNZtp2jS_XTdfdZhpVDX9A/o.jpg,5,https://www.yelp.com/biz/hotel-principe-di-savoia-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
24,NULL,"Armani Hotel",https://s3-media1.fl.yelpcdn.com/bphoto/RU_ilc7Y3_Wr7rhqp6kZhQ/o.jpg,5,https://www.yelp.com/biz/armani-hotel-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
25,NULL,"Bulgari Hotel Milano",https://s3-media2.fl.yelpcdn.com/bphoto/XP0xc-zI5lfuUFTAh_7IDQ/o.jpg,5,https://www.yelp.com/biz/bulgari-hotel-milano-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
26,NULL,"Park Hyatt Milan",https://s3-media4.fl.yelpcdn.com/bphoto/RlCuVApaA6joP9WXzuxH0g/o.jpg,5,https://www.yelp.com/biz/park-hyatt-milan-milano-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
27,NULL,"NYX Hotel Milano",https://s3-media2.fl.yelpcdn.com/bphoto/lP6XeFau1mDcHlXWIcitaw/o.jpg,5,https://www.yelp.com/biz/nyx-hotel-milano-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
28,NULL,"Four Seasons Hotel Milan",https://s3-media1.fl.yelpcdn.com/bphoto/K2RJ1Y0JE64eZ-8yGcjr8Q/o.jpg,5,https://www.yelp.com/biz/four-seasons-hotel-milan-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
29,NULL,"Chateau Monfort",https://s3-media3.fl.yelpcdn.com/bphoto/oucUZN62ZOa8Wf-oder4og/o.jpg,5,https://www.yelp.com/biz/chateau-monfort-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
30,NULL,"Bio City",https://s3-media2.fl.yelpcdn.com/bphoto/6rT4EvgZMsffsVV8m6DUcA/o.jpg,5,https://www.yelp.com/biz/bio-city-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-18 21:56:01","2020-12-18 21:56:01"
